#NAME	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidisarcina;s__Acidisarcina polymorpha	1.54E-05	0	0	2.92E-06	0	3.17E-05	0.000539773	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium;s__Acidobacterium capsulatum	0.000123183	0	0	1.36E-06	0	3.17E-05	0.001179505	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Candidatus Koribacter;s__Candidatus Koribacter versatilis	0.000138581	0	0	5.25E-06	0	5.07E-05	0.002019152	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella mallensis	0	0	0	4.86E-06	0	5.70E-05	0.000539773	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella;s__Granulicella tundricola	6.16E-05	0	0	1.36E-06	0	2.53E-05	0.000439815	2.71E-05	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus albidus	1.54E-05	0	0	1.94E-06	6.50E-06	0	0.000679715	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus roseus	0.000107785	0	0	6.03E-06	0	3.17E-05	0.000959597	5.42E-05	0	1.30E-06
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__Terriglobus saanensis	3.08E-05	0	0	4.28E-06	0	1.27E-05	0.000579757	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Bryobacterales;f__Solibacteraceae;g__Candidatus Solibacter;s__Candidatus Solibacter usitatus	4.62E-05	0	0	1.56E-06	0	4.44E-05	0.002878791	5.42E-05	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium;s__Acidimicrobium ferrooxidans	0	0	0	3.50E-06	6.50E-06	5.07E-05	0.00011995	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter coccineus	4.62E-05	8.46E-06	0	5.83E-07	0	6.34E-06	0.000239899	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus;s__Acidothermus cellulolyticus	6.16E-05	0	0	0	0	2.53E-05	8.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum sp. 313	7.70E-05	0	7.64E-06	3.11E-06	0	8.24E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gaoshouyii	0	8.46E-06	0	5.64E-06	0	1.90E-05	4.00E-05	0.000108331	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces hongkongensis	4.62E-05	8.46E-06	0	6.32E-05	5.20E-05	0.000133078	6.00E-05	0.000189579	4.58E-06	1.30E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces howellii	4.62E-05	8.46E-06	0	1.13E-05	6.50E-06	4.44E-05	4.00E-05	0.000135413	2.29E-06	2.59E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii	1.54E-05	1.69E-05	0	5.05E-06	0	1.90E-05	2.00E-05	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii	1.54E-05	6.77E-05	7.64E-06	9.54E-05	3.25E-05	8.87E-05	8.00E-05	0	2.75E-05	1.43E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris	7.70E-05	5.92E-05	0	0.00011916	3.90E-05	0.000126741	2.00E-05	5.42E-05	5.50E-05	5.18E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces pacaensis	3.08E-05	5.08E-05	7.64E-06	2.76E-05	0.000175494	0.000196449	0.00011995	0.001245802	2.52E-05	6.48E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces qiguomingii	6.16E-05	8.46E-06	0	6.22E-06	0	5.70E-05	4.00E-05	8.12E-05	4.58E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces radicidentis	4.62E-05	0	7.64E-06	1.30E-05	0	1.90E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces slackii	6.16E-05	1.69E-05	0	1.09E-05	6.50E-06	3.17E-05	0.000139941	2.71E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. 2129	4.62E-05	8.46E-06	0	6.80E-06	6.50E-06	1.27E-05	1.00E-04	5.42E-05	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. 299	1.54E-05	1.69E-05	0	4.67E-06	6.50E-06	1.27E-05	0	0	0	0
